date,Borough,week day,Month,TMAX,TMIN,holiday,Year,Total
3/2/2006,BRONX,Thursday,March,35,29,No Holiday,A2006,27
3/2/2006,MANHATTAN,Thursday,March,35,29,No Holiday,A2006,25
3/2/2006,STATEN ISLAND,Thursday,March,35,29,No Holiday,A2006,6
3/3/2006,BRONX,Friday,March,33,22,No Holiday,A2006,37
3/3/2006,MANHATTAN,Friday,March,33,22,No Holiday,A2006,38
3/3/2006,STATEN ISLAND,Friday,March,33,22,No Holiday,A2006,9
3/4/2006,BRONX,Saturday,March,39,24,No Holiday,A2006,29
3/4/2006,MANHATTAN,Saturday,March,39,24,No Holiday,A2006,22
3/4/2006,STATEN ISLAND,Saturday,March,39,24,No Holiday,A2006,10
3/5/2006,BRONX,Sunday,March,45,31,No Holiday,A2006,31
3/5/2006,MANHATTAN,Sunday,March,45,31,No Holiday,A2006,20
3/5/2006,STATEN ISLAND,Sunday,March,45,31,No Holiday,A2006,11
3/6/2006,BRONX,Monday,March,43,31,No Holiday,A2006,42
3/6/2006,MANHATTAN,Monday,March,43,31,No Holiday,A2006,25
3/6/2006,STATEN ISLAND,Monday,March,43,31,No Holiday,A2006,9
3/7/2006,BRONX,Tuesday,March,44,30,No Holiday,A2006,34
3/7/2006,MANHATTAN,Tuesday,March,44,30,No Holiday,A2006,30
3/7/2006,STATEN ISLAND,Tuesday,March,44,30,No Holiday,A2006,11
3/8/2006,BRONX,Wednesday,March,49,29,No Holiday,A2006,31
3/8/2006,MANHATTAN,Wednesday,March,49,29,No Holiday,A2006,35
3/8/2006,STATEN ISLAND,Wednesday,March,49,29,No Holiday,A2006,11
3/9/2006,BRONX,Thursday,March,51,41,No Holiday,A2006,42
3/9/2006,MANHATTAN,Thursday,March,51,41,No Holiday,A2006,31
3/9/2006,STATEN ISLAND,Thursday,March,51,41,No Holiday,A2006,7
3/10/2006,BRONX,Friday,March,74,47,No Holiday,A2006,25
3/10/2006,MANHATTAN,Friday,March,74,47,No Holiday,A2006,36
3/10/2006,STATEN ISLAND,Friday,March,74,47,No Holiday,A2006,10
3/11/2006,BRONX,Saturday,March,63,47,No Holiday,A2006,44
3/11/2006,MANHATTAN,Saturday,March,63,47,No Holiday,A2006,19
3/11/2006,STATEN ISLAND,Saturday,March,63,47,No Holiday,A2006,8
3/12/2006,BRONX,Sunday,March,55,49,No Holiday,A2006,40
3/12/2006,MANHATTAN,Sunday,March,55,49,No Holiday,A2006,29
